GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StringPalindrome,com.javatechie.StringPalindrome,DECODE_INSTRUCTION,3,60,1,15,1,18,1,9,0,2
StringPalindrome,com.javatechie.StringPalindrome,Beta_update,18,132,2,6,14,29,2,6,0,2
StringPalindrome,com.javatechie.StringPalindrome,I_CACHE,33,166,5,21,11,46,5,14,0,6
StringPalindrome,com.javatechie.StringPalindrome,find_value,10,74,2,8,1,20,2,7,0,4
StringPalindrome,com.javatechie.StringPalindrome,INTEGRATE,0,53,0,2,0,14,0,4,0,3
StringPalindrome,com.javatechie.StringPalindrome,add_polynomials,0,18,0,0,0,5,0,2,0,2
StringPalindrome,com.javatechie.StringPalindrome,TWOBIT_BRANCH_PREDICTOR,45,33,17,7,15,12,10,5,0,3
StringPalindrome,com.javatechie.StringPalindrome,App,0,12,0,0,0,3,0,2,0,2
StringPalindrome,com.javatechie.StringPalindrome,parse_assembly,9,84,0,4,4,32,0,7,0,5
StringPalindrome,com.javatechie.StringPalindrome,Node,0,12,0,0,0,5,0,1,0,1
StringPalindrome,com.javatechie.StringPalindrome,subtract_polynomial,0,18,0,0,0,5,0,2,0,2
StringPalindrome,com.javatechie.StringPalindrome,DERIVATIVE,15,45,2,4,6,13,2,4,0,3
StringPalindrome,com.javatechie.StringPalindrome,EXECUTE_INSTRUCTION,55,461,10,30,12,92,10,21,0,11
StringPalindrome,com.javatechie.StringPalindrome,polynomial,34,311,13,43,7,63,13,19,0,4
StringPalindrome,com.javatechie.StringPalindrome,test_application,45,51,8,5,13,16,5,4,0,2
StringPalindrome,com.javatechie.StringPalindrome,main_controller,165,560,32,54,27,102,22,24,0,3
StringPalindrome,com.javatechie.StringPalindrome,D_CACHE,50,145,6,20,18,38,5,14,0,6
StringPalindrome,com.javatechie.StringPalindrome,CNode,0,18,0,0,0,7,0,1,0,1
StringPalindrome,com.javatechie.StringPalindrome,multiply_polynomial,0,63,0,4,0,17,0,5,0,3
